Rarity Rank,Name,Type,Mech Pattern,Organic Pattern,Primary Color,Secondary Color,Full Head Accessory,Head Top Accessory,Eye Accessory,Piercing,Glow Color,Eye Color
498,Wolf #1932,Organic,None,Moon and Stars,Midnight,Sunrise Orange,None,Third Eye,Ski Goggles,Gold Nose,None,Lemon Lime
499,Wolf #908,Hybrid,Imperfecto,Halloween,Sunrise Orange,Lemon Yellow,None,None,Deal with it Shades,None,Neon Red,Matrix
500,Wolf #2860,Organic,None,Moon and Stars,Mint,Sunrise Orange,None,Third Eye,Eye Patch,Gold Left and Nose,None,Lemon Yellow
501,Wolf #1641,Mech,Chrome,None,Avocado Green,None,None,None,None,None,Neon Yellow,Sunrise Orange
502,Wolf #2148,Hybrid,Bolts,Tiger,Royal Purple,Coffee Brown,None,Halo,Sci-Fi Visor,None,Neon Green,Electric Blue
503,Wolf #1752,Organic,None,Giraffe,Coffee Brown,Royal Purple,None,ETH Orb,Sci-Fi Visor,Silver Left,None,Chaos
504,Wolf #2475,Mech,Bolts,None,Royal Purple,Sunrise Orange,None,None,Lasers Red,None,Neon Green,Blood Red
505,Wolf #3015,Hybrid,Color Burst,Polkadots,Mint,Burgundy,None,ETH Orb,None,None,Neon Green,Lemon Lime
506,Wolf #2137,Hybrid,Chrome,Split,Midnight,Bubblegum Pink,None,None,Radar,None,Neon Violet,Coffee Brown
507,Wolf #2956,Hybrid,Imperfecto,Wild,Sunrise Orange,Mint,None,Halo,Ski Goggles,None,Neon Red,Slime Green
508,Wolf #462,Mech,Zebra,None,Electric Blue,Lemon Yellow,Doom Mask,None,None,None,Neon Red,Sunrise Orange
509,Wolf #904,Mech,Bolts,None,Coffee Brown,Electric Blue,None,Third Eye,Eye Patch,None,Neon Green,Slime Green
510,Wolf #1161,Hybrid,Imperfecto,Wild,Avocado Green,Lemon Yellow,None,None,Eye Patch,Silver Nose,Neon Yellow,Coffee Brown
511,Wolf #64,Mech,Bolts,None,Midnight,Slime Green,Cubone Mask,None,None,None,Neon Green,Electric Blue
512,Wolf #1709,Hybrid,Imperfecto,Moon and Stars,Midnight,Mint,None,None,Star Trek Visor,None,Neon Red,Sunrise Orange
513,Wolf #3197,Hybrid,Mineral,Wild,Sunrise Orange,White,Headband,None,None,None,Neon Pink,Bubblegum Pink
514,Wolf #3312,Hybrid,Bolts,Base,Slime Green,Mint,None,None,None,Gold Right,Neon Blue,Coffee Brown
515,Wolf #596,Mech,Mineral,None,Mint,None,None,None,None,None,Neon Red,Slime Green
516,Wolf #2353,Mech,Bolts,None,Avocado Green,Forest Green,None,Third Eye,None,Silver Left,Neon Red,Sunrise Orange
517,Wolf #160,Hybrid,Imperfecto,Wild,Avocado Green,White,None,None,Eye Patch,Gold Nose,Neon Green,Candy
518,Wolf #1561,Hybrid,Zebra,Wild,Sunrise Orange,Bubblegum Pink,Speed Goggles,None,None,Gold Left,Neon Green,Ocean Blue
519,Wolf #1687,Hybrid,Imperfecto,Giraffe,Burgundy,Avocado Green,Boxing Helmet,None,None,None,Neon Pink,Ocean Blue
520,Wolf #2046,Hybrid,Zebra,Checker,Slime Green,Coffee Brown,Headband,None,None,None,Neon Violet,Matrix
521,Wolf #1981,Hybrid,Bolts,Split,Avocado Green,Lemon Yellow,None,None,Deal with it Shades,Gold Right,Neon Green,Candy
522,Wolf #2752,Hybrid,Zebra,Flames,Electric Blue,Coffee Brown,None,Halo,None,None,Neon Blue,Candy
523,Wolf #2784,Hybrid,Imperfecto,Split,Sunrise Orange,Electric Blue,Speed Goggles,None,None,Silver Left,Neon Orange,Coffee Brown
524,Wolf #1254,Hybrid,Mineral,Hearts,Sunrise Orange,Ocean Blue,Speed Goggles,None,None,None,Neon Violet,Slime Green
525,Wolf #2824,Organic,None,Hearts,Slime Green,Sunrise Orange,None,Halo,Deal with it Shades,Silver Left and Nose,None,Ocean Blue
526,Wolf #1755,Mech,Chrome,None,Royal Purple,None,None,None,None,None,Neon Orange,Slime Green
527,Wolf #1659,Mech,Imperfecto,None,Forest Green,Avocado Green,None,None,Eye Patch,None,Neon Orange,Candy
528,Wolf #2793,Organic,None,Moon and Stars,Avocado Green,Sunrise Orange,None,None,Lasers Blue,Silver Right and Nose,None,Candy
529,Wolf #147,Mech,Imperfecto,None,Blood Red,White,None,Third Eye,None,None,Neon Blue,Electric Blue
530,Wolf #1488,Mech,Imperfecto,None,Royal Purple,Avocado Green,None,None,None,Silver Left and Nose,Neon Yellow,Electric Blue
531,Wolf #1472,Hybrid,Lava,Split,Burgundy,Forest Green,None,Third Eye,None,None,Neon Green,Royal Purple
532,Wolf #2973,Hybrid,Iridescent,Split,Royal Purple,Sunrise Orange,None,None,None,Silver Left and Nose,Neon Violet,Sunrise Orange
533,Wolf #2666,Hybrid,Imperfecto,Moon and Stars,Coffee Brown,Sunrise Orange,None,Third Eye,Ski Goggles,None,Neon Red,Slime Green
534,Wolf #1509,Hybrid,Bolts,Giraffe,Sunrise Orange,Ocean Blue,Headband,None,None,Silver Left,Neon Red,Coffee Brown
535,Wolf #1560,Hybrid,Mineral,Thunder,Sunrise Orange,Royal Purple,None,None,Shutter Shades,None,Neon Green,Lemon Yellow
536,Wolf #3306,Hybrid,Bolts,Polkadots,Blood Red,Burgundy,Cubone Mask,None,None,None,Neon Green,Electric Blue
537,Wolf #259,Hybrid,Zebra,Tiger,Royal Purple,Bubblegum Pink,None,None,None,Silver Right,Neon Yellow,Sunrise Orange
538,Wolf #2891,Hybrid,Imperfecto,Split,Slime Green,White,None,Third Eye,Deal with it Shades,None,Neon Green,Electric Blue
539,Wolf #3216,Mech,Imperfecto,None,Slime Green,Lemon Yellow,Doom Mask,None,None,None,Neon Green,Candy
540,Wolf #3228,Organic,None,Wild,Ocean Blue,Mint,None,None,Lasers Green,Gold Left,None,Ocean Blue
541,Wolf #3291,Organic,None,Base,Mint,Midnight,None,ETH Orb,Deal with it Shades,Silver Nose,None,Electric Blue
542,Wolf #2459,Mech,Zebra,None,Royal Purple,Bubblegum Pink,None,None,None,Gold Nose,Neon Violet,Electric Blue
543,Wolf #1343,Hybrid,Zebra,Split,Electric Blue,Forest Green,None,Halo,None,Silver Nose,Neon Red,Coffee Brown
544,Wolf #449,Hybrid,Imperfecto,Wild,Burgundy,Electric Blue,None,None,None,Gold Left,Neon Mint,Electric Blue
545,Wolf #3259,Mech,Bolts,None,White,Lemon Yellow,None,None,Shutter Shades,None,Neon Orange,Blood Red
546,Wolf #2610,Hybrid,Iridescent,Wild,Avocado Green,Sunrise Orange,Crown,None,None,None,Neon Green,Coffee Brown
547,Wolf #1322,Hybrid,Chrome,Flames,Sunrise Orange,Electric Blue,VR Headset,None,None,None,Neon Red,Lemon Yellow
548,Wolf #701,Hybrid,Bolts,Split,Blood Red,Sunrise Orange,None,None,None,Silver Right and Nose,Neon Green,Lemon Lime
549,Wolf #327,Hybrid,Imperfecto,Halloween,Avocado Green,Royal Purple,VR Headset,None,None,None,Neon Green,Lemon Lime
550,Wolf #1384,Hybrid,Imperfecto,Wild,White,Avocado Green,Headband,None,None,Silver Left,Neon Violet,Blood Red
551,Wolf #2853,Hybrid,Imperfecto,Tiger,Coffee Brown,Avocado Green,None,Halo,Shutter Shades,None,Neon Green,Coffee Brown
552,Wolf #1453,Organic,None,Hearts,Blood Red,Electric Blue,None,ETH Orb,Future Visor,Gold Left,None,Slime Green
553,Wolf #628,Mech,Zebra,None,Mint,Lemon Yellow,None,None,Flight Goggles,None,Neon Red,Electric Blue
554,Wolf #1100,Mech,Zebra,None,Midnight,Sunrise Orange,None,Third Eye,None,None,Neon Yellow,Bubblegum Pink
555,Wolf #3188,Hybrid,Iridescent,Hearts,Lemon Yellow,Electric Blue,None,None,Future Visor,None,Neon Red,Coffee Brown
556,Wolf #2375,Hybrid,Bolts,Split,Royal Purple,Electric Blue,None,Third Eye,Ski Goggles,None,Neon Violet,Bubblegum Pink
557,Wolf #279,Hybrid,Imperfecto,Wild,Forest Green,Avocado Green,None,None,Deal with it Shades,Silver Left,Neon Red,Ocean Blue
558,Wolf #470,Mech,Imperfecto,None,Royal Purple,Forest Green,None,None,Shutter Shades,None,Neon Blue,Candy
559,Wolf #329,Mech,Bolts,None,Royal Purple,Electric Blue,Eye of the Observer,None,None,None,Neon Pink,Slime Green
560,Wolf #1470,Hybrid,Bolts,Moon and Stars,Avocado Green,Lemon Yellow,None,Halo,None,Gold Nose,Neon Green,Lemon Yellow
561,Wolf #554,Hybrid,Imperfecto,Wild,Mint,Sunrise Orange,Speed Goggles,None,None,None,Neon Mint,Sunrise Orange
562,Wolf #1702,Hybrid,Lava,Wild,Sunrise Orange,Lemon Yellow,None,None,Radar,None,Neon Red,Slime Green
563,Wolf #1884,Hybrid,Zebra,Split,Royal Purple,Mint,Speed Goggles,None,None,Silver Right,Neon Green,Lemon Yellow
564,Wolf #1701,Hybrid,Bolts,Thunder,Avocado Green,Lemon Yellow,Boxing Helmet,None,None,None,Neon Violet,Blood Red
565,Wolf #1502,Hybrid,Bolts,Checker,Slime Green,Bubblegum Pink,None,None,None,Gold Nose,Neon Blue,Slime Green
566,Wolf #1005,Hybrid,Bolts,Polkadots,Forest Green,Lemon Yellow,None,ETH Orb,None,Gold Left,Neon Red,Sunrise Orange
567,Wolf #182,Hybrid,Imperfecto,Polkadots,Burgundy,White,Cubone Mask,None,None,None,Neon Green,Ocean Blue
568,Wolf #2420,Hybrid,Imperfecto,Hearts,Bubblegum Pink,Mint,Doom Mask,None,None,None,Neon Green,Royal Purple
569,Wolf #694,Hybrid,Bolts,Checker,Coffee Brown,Avocado Green,None,None,Sci-Fi Visor,Silver Nose,Neon Green,Coffee Brown
570,Wolf #2133,Hybrid,Bolts,Split,Lemon Yellow,Ocean Blue,None,None,Deal with it Shades,None,Neon Orange,Blood Red
571,Wolf #1845,Hybrid,Imperfecto,Split,Sunrise Orange,Electric Blue,None,None,Lasers Red,None,Neon Red,Candy
572,Wolf #1973,Mech,Imperfecto,None,Lemon Yellow,Sunrise Orange,Doom Mask,None,None,None,Neon Red,Blood Red
573,Wolf #982,Hybrid,Chrome,Polkadots,Avocado Green,Coffee Brown,WcDonald’s Hat,None,None,None,Neon Red,Bubblegum Pink
574,Wolf #3156,Hybrid,Bolts,Giraffe,Avocado Green,Burgundy,Speed Goggles,None,None,Gold Left,Neon Green,Sunrise Orange
575,Wolf #15,Organic,None,Flames,Bubblegum Pink,Electric Blue,None,Third Eye,Sci-Fi Visor,Silver Left,None,Electric Blue
576,Wolf #940,Hybrid,Imperfecto,Polkadots,Avocado Green,Sunrise Orange,None,None,Ski Goggles,Silver Right,Neon Red,Bubblegum Pink
577,Wolf #49,Mech,Bolts,None,White,Ocean Blue,None,None,None,None,Neon Mint,Sunrise Orange
578,Wolf #2232,Hybrid,Bolts,Halloween,Lemon Yellow,Midnight,None,None,Shutter Shades,None,Neon Blue,Sunrise Orange
579,Wolf #3307,Hybrid,Bolts,Checker,Bubblegum Pink,Forest Green,Speed Goggles,None,None,None,Neon Blue,Candy
580,Wolf #1250,Mech,Imperfecto,None,Burgundy,Electric Blue,Boxing Helmet,None,None,None,Neon Red,Slime Green
581,Wolf #409,Hybrid,Zebra,Giraffe,Lemon Yellow,Mint,None,None,Shutter Shades,None,Neon Green,Matrix
582,Wolf #1720,Organic,None,Tiger,Slime Green,Mint,None,None,Steampunk Goggles,Silver Left,None,Chaos
583,Wolf #2715,Hybrid,Bolts,Wild,Slime Green,Sunrise Orange,Headband,None,None,Gold Left,Neon Violet,Sunrise Orange
584,Wolf #720,Hybrid,Chrome,Wild,Lemon Yellow,Sunrise Orange,WcDonald’s Hat,None,None,None,Neon Violet,Coffee Brown
585,Wolf #653,Hybrid,Bolts,Tiger,Bubblegum Pink,Mint,None,Third Eye,None,None,Neon Green,Matrix
586,Wolf #3054,Hybrid,Bolts,Wild,Forest Green,Royal Purple,Eye of the Observer,None,None,Gold Right,Neon Red,Electric Blue
587,Wolf #73,Hybrid,Imperfecto,Halloween,Mint,Lemon Yellow,Speed Goggles,None,None,None,Neon Yellow,Coffee Brown
588,Wolf #143,Mech,Zebra,None,Royal Purple,Mint,None,None,None,Silver Right,Neon Violet,Blood Red
589,Wolf #288,Hybrid,Chrome,Giraffe,Burgundy,White,Headband,None,None,None,Neon Red,Bubblegum Pink
590,Wolf #3181,Hybrid,Imperfecto,Polkadots,Sunrise Orange,Forest Green,None,None,Future Visor,None,Neon Yellow,Candy
591,Wolf #936,Mech,Chrome,None,Lemon Yellow,None,None,None,None,None,Neon Violet,Lemon Yellow
592,Wolf #2636,Organic,None,Halloween,Mint,Coffee Brown,Cubone Mask,None,None,Silver Left and Nose,None,Lemon Yellow
593,Wolf #2759,Hybrid,Bolts,Base,Mint,Electric Blue,None,None,None,Gold Nose,Neon Violet,Royal Purple
594,Wolf #378,Mech,Zebra,None,Lemon Yellow,Ocean Blue,None,None,None,Silver Right,Neon Green,Blood Red
595,Wolf #1286,Hybrid,Color Burst,Tiger,Forest Green,Avocado Green,None,None,None,Silver Right,Neon Blue,Blood Red
596,Wolf #1000,Mech,Chrome,None,Slime Green,None,None,None,None,None,Neon Red,Blood Red
597,Wolf #2657,Hybrid,Iridescent,Wild,Royal Purple,Forest Green,None,Unicorn Horn,None,None,Neon Orange,Royal Purple
598,Wolf #844,Hybrid,Imperfecto,Base,Forest Green,Electric Blue,None,None,Sci-Fi Visor,None,Neon Red,Blood Red
599,Wolf #1089,Hybrid,Bolts,Giraffe,Electric Blue,Forest Green,Doom Mask,None,None,None,Neon Pink,Electric Blue
600,Wolf #725,Hybrid,Zebra,Split,Burgundy,Blood Red,None,None,Deal with it Shades,None,Neon Red,Slime Green
601,Wolf #1234,Hybrid,Imperfecto,Split,Midnight,Bubblegum Pink,None,None,Shutter Shades,None,Neon Pink,Electric Blue
602,Wolf #1598,Hybrid,Bolts,Giraffe,Royal Purple,Forest Green,None,Third Eye,Radar,None,Neon Green,Blood Red
603,Wolf #724,Organic,None,Checker,Coffee Brown,Avocado Green,None,ETH Orb,Steampunk Goggles,Silver Nose,None,Royal Purple
604,Wolf #1314,Hybrid,Imperfecto,Wild,Royal Purple,Ocean Blue,None,ETH Orb,None,Gold Left,Neon Green,Electric Blue
605,Wolf #467,Hybrid,Imperfecto,Split,Burgundy,Royal Purple,None,None,None,Gold Left and Nose,Neon Violet,Lemon Yellow
606,Wolf #1521,Hybrid,Bolts,Split,Midnight,Blood Red,None,None,Shutter Shades,None,Neon Pink,Coffee Brown
607,Wolf #1640,Hybrid,Imperfecto,Giraffe,Ocean Blue,Forest Green,None,None,Star Trek Visor,None,Neon Green,Lemon Yellow
608,Wolf #244,Hybrid,Iridescent,Flames,Lemon Yellow,Sunrise Orange,None,None,None,Silver Left,Neon Red,Slime Green
609,Wolf #1084,Hybrid,Bolts,Thunder,Avocado Green,Blood Red,Headband,None,None,None,Neon Red,Bubblegum Pink
610,Wolf #2283,Hybrid,Chrome,Giraffe,Forest Green,Mint,None,None,None,None,Neon Pink,Lemon Lime
611,Wolf #806,Hybrid,Zebra,Wild,Midnight,Electric Blue,None,None,None,Gold Right and Nose,Neon Red,Candy
612,Wolf #1854,Hybrid,Imperfecto,Checker,White,Midnight,None,Third Eye,None,None,Neon Yellow,Candy
613,Wolf #2767,Hybrid,Bolts,Thunder,Sunrise Orange,Royal Purple,Eye of the Observer,None,None,None,Neon Blue,Electric Blue
614,Wolf #405,Mech,Bolts,None,Burgundy,Electric Blue,None,Unicorn Horn,None,None,Neon Violet,Bubblegum Pink
615,Wolf #3277,Hybrid,Bolts,Wild,Midnight,White,None,None,Flight Goggles,None,Neon Yellow,Blood Red
616,Wolf #1037,Hybrid,Bolts,Split,Slime Green,White,None,Third Eye,None,Silver Right,Neon Green,Royal Purple
617,Wolf #710,Hybrid,Iridescent,Giraffe,Sunrise Orange,Coffee Brown,None,None,None,Silver Left,Neon Yellow,Lemon Yellow
618,Wolf #789,Hybrid,Mineral,Giraffe,Avocado Green,Coffee Brown,None,None,None,Gold Left,Neon Blue,Blood Red
619,Wolf #2521,Hybrid,Bolts,Split,Slime Green,Electric Blue,None,ETH Orb,Deal with it Shades,None,Neon Green,Electric Blue
620,Wolf #2258,Hybrid,Zebra,Tiger,Forest Green,Slime Green,None,None,Radar,None,Neon Violet,Lemon Yellow
621,Wolf #418,Organic,None,Checker,Coffee Brown,Slime Green,None,None,Steampunk Goggles,Gold Left,None,Chaos
622,Wolf #406,Organic,None,Hearts,Coffee Brown,Mint,None,ETH Orb,Flight Goggles,Gold Left,None,Slime Green
623,Wolf #713,Hybrid,Color Burst,Split,White,Coffee Brown,Headband,None,None,None,Neon Pink,Lemon Yellow
624,Wolf #354,Mech,Bolts,None,Mint,Forest Green,None,None,Future Visor,None,Neon Red,Slime Green
625,Wolf #2093,Hybrid,Mineral,Polkadots,Burgundy,Ocean Blue,None,None,None,None,Neon Pink,Royal Purple
626,Wolf #988,Hybrid,Color Burst,Wild,Sunrise Orange,Burgundy,Doom Mask,None,None,None,Neon Green,Candy
627,Wolf #1445,Hybrid,Bolts,Wild,Slime Green,Forest Green,VR Headset,None,None,None,Neon Pink,Blood Red
628,Wolf #1571,Hybrid,Bolts,Checker,Coffee Brown,Electric Blue,None,Third Eye,None,Silver Nose,Neon Green,Candy
629,Wolf #74,Organic,None,Halloween,Coffee Brown,Ocean Blue,Cubone Mask,None,None,Gold Left,None,Sunrise Orange
630,Wolf #2433,Hybrid,Imperfecto,Checker,White,Electric Blue,VR Headset,None,None,None,Neon Violet,Sunrise Orange
631,Wolf #3142,Mech,Bolts,None,Mint,Midnight,None,Unicorn Horn,None,None,Neon Violet,Bubblegum Pink
632,Wolf #533,Hybrid,Bolts,Giraffe,Forest Green,Sunrise Orange,None,None,Eye Patch,Silver Nose,Neon Red,Coffee Brown
633,Wolf #2606,Hybrid,Zebra,Split,Sunrise Orange,Mint,None,Halo,None,None,Neon Pink,Ocean Blue
634,Wolf #2426,Hybrid,Color Burst,Polkadots,Burgundy,Forest Green,Boxing Helmet,None,None,None,Neon Green,Bubblegum Pink
635,Wolf #586,Hybrid,Imperfecto,Split,Avocado Green,Ocean Blue,Cubone Mask,None,None,None,Neon Red,Electric Blue
636,Wolf #3100,Hybrid,Bolts,Tiger,Bubblegum Pink,Avocado Green,None,None,None,Silver Left,Neon Pink,Slime Green
637,Wolf #456,Hybrid,Imperfecto,Moon and Stars,Royal Purple,Burgundy,None,None,Ski Goggles,None,Neon Orange,Slime Green
638,Wolf #2031,Hybrid,Bolts,Moon and Stars,Slime Green,Mint,None,None,None,Gold Left,Neon Blue,Blood Red
639,Wolf #2880,Mech,Imperfecto,None,Avocado Green,Coffee Brown,None,None,Ski Goggles,None,Neon Yellow,Sunrise Orange
640,Wolf #32,Hybrid,Zebra,Wild,Forest Green,Burgundy,None,None,Eye Patch,None,Neon Yellow,Ocean Blue
641,Wolf #840,Hybrid,Zebra,Wild,Electric Blue,White,Speed Goggles,None,None,Silver Nose,Neon Green,Lemon Yellow
642,Wolf #1951,Hybrid,Zebra,Tiger,Avocado Green,Electric Blue,None,None,None,Gold Nose,Neon Yellow,Bubblegum Pink
643,Wolf #2925,Hybrid,Imperfecto,Giraffe,Forest Green,Slime Green,None,ETH Orb,None,None,Neon Pink,Sunrise Orange
644,Wolf #3065,Mech,Imperfecto,None,Bubblegum Pink,Blood Red,Headband,None,None,None,Neon Green,Electric Blue
645,Wolf #3267,Organic,None,Flames,White,Forest Green,None,Third Eye,Ski Goggles,Gold Left,None,Bubblegum Pink
646,Wolf #2670,Hybrid,Bolts,Giraffe,Slime Green,Ocean Blue,None,None,Eye Patch,None,Neon Violet,Candy
647,Wolf #2713,Organic,None,Hearts,Burgundy,Midnight,None,ETH Orb,Shutter Shades,Gold Right,None,Sunrise Orange
648,Wolf #249,Mech,Bolts,None,Lemon Yellow,Midnight,None,Halo,None,None,Neon Orange,Electric Blue
649,Wolf #466,Organic,None,Halloween,Royal Purple,Sunrise Orange,None,Unicorn Horn,Sci-Fi Visor,Silver Right,None,Coffee Brown
650,Wolf #2782,Hybrid,Color Burst,Wild,Avocado Green,Royal Purple,None,ETH Orb,None,Silver Right,Neon Green,Slime Green
651,Wolf #2525,Organic,None,Thunder,Avocado Green,Ocean Blue,None,None,Steampunk Goggles,Gold Left,None,Ocean Blue
652,Wolf #2654,Hybrid,Imperfecto,Giraffe,Mint,Sunrise Orange,Boxing Helmet,None,None,None,Neon Green,Matrix
653,Wolf #605,Mech,Bolts,None,Coffee Brown,Burgundy,None,Halo,None,None,Neon Red,Candy
654,Wolf #764,Hybrid,Color Burst,Checker,Slime Green,Sunrise Orange,None,None,None,Silver Nose,Neon Orange,Lemon Yellow
655,Wolf #2735,Hybrid,Mineral,Wild,Sunrise Orange,Midnight,None,None,None,Gold Left,Neon Yellow,Lemon Yellow
656,Wolf #1930,Mech,Imperfecto,None,Royal Purple,Coffee Brown,None,None,None,Silver Left and Nose,Neon Red,Blood Red
657,Wolf #1996,Hybrid,Color Burst,Wild,Blood Red,Forest Green,None,Third Eye,None,None,Neon Blue,Ocean Blue
658,Wolf #2773,Hybrid,Bolts,Tiger,Lemon Yellow,Burgundy,Doom Mask,None,None,None,Neon Red,Coffee Brown
659,Wolf #1596,Hybrid,Color Burst,Giraffe,Forest Green,White,Eye of the Observer,None,None,None,Neon Violet,Electric Blue
660,Wolf #3279,Hybrid,Chrome,Giraffe,Slime Green,Sunrise Orange,Speed Goggles,None,None,None,Neon Orange,Electric Blue
661,Wolf #3173,Hybrid,Iridescent,Wild,Midnight,Sunrise Orange,None,None,Future Visor,None,Neon Green,Royal Purple
662,Wolf #815,Hybrid,Chrome,Moon and Stars,Sunrise Orange,Forest Green,Headband,None,None,None,Neon Violet,Royal Purple
663,Wolf #1473,Mech,Zebra,None,Mint,White,None,ETH Orb,None,None,Neon Red,Slime Green
664,Wolf #1020,Hybrid,Chrome,Giraffe,Blood Red,Midnight,None,None,None,Silver Left,Neon Green,Royal Purple
665,Wolf #2380,Mech,Imperfecto,None,Royal Purple,Bubblegum Pink,None,None,None,Silver Right,Neon Violet,Lemon Yellow
666,Wolf #2528,Hybrid,Imperfecto,Giraffe,Ocean Blue,Lemon Yellow,None,None,None,Gold Left,Neon Orange,Electric Blue
667,Wolf #67,Hybrid,Bolts,Flames,Midnight,Electric Blue,None,None,Flight Goggles,None,Neon Red,Royal Purple
668,Wolf #3168,Hybrid,Chrome,Hearts,Avocado Green,Midnight,None,None,None,Silver Left,Neon Yellow,Lemon Yellow
669,Wolf #347,Hybrid,Zebra,Hearts,Coffee Brown,Midnight,None,Third Eye,None,None,Neon Violet,Lemon Lime
670,Wolf #454,Organic,None,Giraffe,Sunrise Orange,Blood Red,None,Third Eye,Radar,Gold Left,None,Blood Red
671,Wolf #2136,Hybrid,Bolts,Flames,White,Mint,Boxing Helmet,None,None,None,Neon Red,Electric Blue
672,Wolf #2672,Organic,None,Split,Electric Blue,Forest Green,None,Unicorn Horn,Ski Goggles,Silver Left and Nose,None,Ocean Blue
673,Wolf #146,Mech,Bolts,None,Avocado Green,Midnight,Headband,None,None,None,Neon Yellow,Royal Purple
674,Wolf #1002,Hybrid,Chrome,Hearts,Avocado Green,Midnight,Headband,None,None,None,Neon Orange,Slime Green
675,Wolf #1095,Hybrid,Mineral,Wild,Ocean Blue,White,None,ETH Orb,None,None,Neon Green,Coffee Brown
676,Wolf #1573,Hybrid,Rose Gold,Moon and Stars,Sunrise Orange,Lemon Yellow,None,None,None,None,Neon Yellow,Lemon Yellow
677,Wolf #1007,Organic,None,Mondriaan,None,None,None,None,None,None,None,Bubblegum Pink
678,Wolf #2294,Hybrid,Zebra,Polkadots,Avocado Green,Bubblegum Pink,None,None,Deal with it Shades,None,Neon Violet,Sunrise Orange
679,Wolf #647,Hybrid,Mineral,Split,Electric Blue,Lemon Yellow,VR Headset,None,None,None,Neon Green,Slime Green
680,Wolf #1852,Organic,None,Giraffe,Avocado Green,Royal Purple,None,Unicorn Horn,Star Trek Visor,Silver Right,None,Ocean Blue
681,Wolf #609,Hybrid,Mineral,Moon and Stars,Coffee Brown,Avocado Green,None,None,Deal with it Shades,None,Neon Green,Ocean Blue
682,Wolf #2050,Hybrid,Bolts,Moon and Stars,White,Slime Green,Headband,None,None,None,Neon Orange,Ocean Blue
683,Wolf #3004,Hybrid,Mineral,Wild,Sunrise Orange,Mint,Boxing Helmet,None,None,None,Neon Green,Blood Red
684,Wolf #2609,Organic,None,Wild,Sunrise Orange,Midnight,None,Unicorn Horn,Star Trek Visor,Silver Right,None,Sunrise Orange
685,Wolf #2899,Organic,None,Flames,Sunrise Orange,Electric Blue,None,Halo,Deal with it Shades,Silver Nose,None,Slime Green
686,Wolf #618,Hybrid,Color Burst,Flames,Sunrise Orange,Royal Purple,None,None,None,Gold Right,Neon Red,Bubblegum Pink
687,Wolf #94,Hybrid,Bolts,Moon and Stars,Midnight,Avocado Green,None,None,Eye Patch,None,Neon Yellow,Bubblegum Pink
688,Wolf #945,Hybrid,Color Burst,Polkadots,Midnight,Avocado Green,None,Halo,None,None,Neon Orange,Lemon Yellow
689,Wolf #2377,Organic,None,Halloween,Coffee Brown,Avocado Green,None,Unicorn Horn,Ski Goggles,Gold Right,None,Lemon Yellow
690,Wolf #1978,Hybrid,Imperfecto,Split,Blood Red,Slime Green,None,None,None,Silver Nose,Neon Blue,Slime Green
691,Wolf #1071,Hybrid,Chrome,Wild,Bubblegum Pink,Coffee Brown,None,None,None,Gold Right,Neon Red,Sunrise Orange
692,Wolf #422,Hybrid,Zebra,Moon and Stars,Lemon Yellow,Midnight,None,None,None,Gold Left,Neon Orange,Electric Blue
693,Wolf #1315,Hybrid,Chrome,Split,Coffee Brown,Slime Green,None,None,Flight Goggles,None,Neon Green,Coffee Brown
694,Wolf #10,Hybrid,Imperfecto,Flames,Electric Blue,Slime Green,None,None,None,Silver Right,Neon Violet,Blood Red
695,Wolf #3084,Mech,Mineral,None,Royal Purple,None,None,None,None,None,Neon Green,Slime Green
696,Wolf #2613,Mech,Zebra,None,Coffee Brown,Sunrise Orange,None,Third Eye,None,None,Neon Green,Lemon Lime
697,Wolf #3328,Organic,None,Tiger,Coffee Brown,Lemon Yellow,None,Third Eye,Steampunk Goggles,Silver Nose,None,Lemon Yellow
698,Wolf #1629,Hybrid,Zebra,Giraffe,Coffee Brown,White,Speed Goggles,None,None,None,Neon Pink,Coffee Brown
699,Wolf #3005,Hybrid,Mineral,Split,Forest Green,Royal Purple,Headband,None,None,None,Neon Violet,Blood Red
700,Wolf #2645,Hybrid,Zebra,Split,White,Royal Purple,None,None,None,Gold Left and Nose,Neon Green,Royal Purple
701,Wolf #346,Hybrid,Bolts,Wild,Burgundy,Sunrise Orange,None,ETH Orb,Eye Patch,None,Neon Green,Electric Blue
702,Wolf #2295,Mech,Bolts,None,White,Lemon Yellow,None,Halo,None,None,Neon Violet,Ocean Blue
703,Wolf #3036,Hybrid,Bolts,Split,Bubblegum Pink,Mint,None,None,None,Silver Left,Neon Green,Lemon Lime
704,Wolf #343,Hybrid,Mineral,Giraffe,Ocean Blue,Burgundy,None,None,None,None,Neon Orange,Ocean Blue
705,Wolf #2996,Organic,None,Halloween,Burgundy,Slime Green,None,Halo,Steampunk Goggles,None,None,Lemon Yellow
706,Wolf #2,Hybrid,Color Burst,Giraffe,Avocado Green,Midnight,Boxing Helmet,None,None,None,Neon Violet,Lemon Yellow
707,Wolf #1417,Hybrid,Imperfecto,Wild,Ocean Blue,Lemon Yellow,None,None,None,Silver Right,Neon Green,Matrix
708,Wolf #1988,Mech,Bolts,None,Mint,Lemon Yellow,None,None,None,Silver Left,Neon Blue,Lemon Yellow
